job,graph,iter,anneal-power,quadratic-model,graph_class,tstop,shil-coeff,cubic-model,project
81,uf100-01.pubo,80,0,H4,oscillator_model/sat_pubo,100,0,H8,False
82,uf100-01.pubo,81,0,H4,oscillator_model/sat_pubo,100,0,H8,False
83,uf100-01.pubo,82,0,H4,oscillator_model/sat_pubo,100,0,H8,False
84,uf100-01.pubo,83,0,H4,oscillator_model/sat_pubo,100,0,H8,False
85,uf100-01.pubo,84,0,H4,oscillator_model/sat_pubo,100,0,H8,False
86,uf100-01.pubo,85,0,H4,oscillator_model/sat_pubo,100,0,H8,False
87,uf100-01.pubo,86,0,H4,oscillator_model/sat_pubo,100,0,H8,False
88,uf100-01.pubo,87,0,H4,oscillator_model/sat_pubo,100,0,H8,False
89,uf100-01.pubo,88,0,H4,oscillator_model/sat_pubo,100,0,H8,False
90,uf100-01.pubo,89,0,H4,oscillator_model/sat_pubo,100,0,H8,False
91,uf100-01.pubo,90,0,H4,oscillator_model/sat_pubo,100,0,H8,False
92,uf100-01.pubo,91,0,H4,oscillator_model/sat_pubo,100,0,H8,False
93,uf100-01.pubo,92,0,H4,oscillator_model/sat_pubo,100,0,H8,False
94,uf100-01.pubo,93,0,H4,oscillator_model/sat_pubo,100,0,H8,False
95,uf100-01.pubo,94,0,H4,oscillator_model/sat_pubo,100,0,H8,False
96,uf100-01.pubo,95,0,H4,oscillator_model/sat_pubo,100,0,H8,False
97,uf100-01.pubo,96,0,H4,oscillator_model/sat_pubo,100,0,H8,False
98,uf100-01.pubo,97,0,H4,oscillator_model/sat_pubo,100,0,H8,False
99,uf100-01.pubo,98,0,H4,oscillator_model/sat_pubo,100,0,H8,False
100,uf100-01.pubo,99,0,H4,oscillator_model/sat_pubo,100,0,H8,False
101,uf100-02.pubo,0,0,H4,oscillator_model/sat_pubo,100,0,H8,False
102,uf100-02.pubo,1,0,H4,oscillator_model/sat_pubo,100,0,H8,False
103,uf100-02.pubo,2,0,H4,oscillator_model/sat_pubo,100,0,H8,False
104,uf100-02.pubo,3,0,H4,oscillator_model/sat_pubo,100,0,H8,False
105,uf100-02.pubo,4,0,H4,oscillator_model/sat_pubo,100,0,H8,False
106,uf100-02.pubo,5,0,H4,oscillator_model/sat_pubo,100,0,H8,False
107,uf100-02.pubo,6,0,H4,oscillator_model/sat_pubo,100,0,H8,False
108,uf100-02.pubo,7,0,H4,oscillator_model/sat_pubo,100,0,H8,False
109,uf100-02.pubo,8,0,H4,oscillator_model/sat_pubo,100,0,H8,False
110,uf100-02.pubo,9,0,H4,oscillator_model/sat_pubo,100,0,H8,False
111,uf100-02.pubo,10,0,H4,oscillator_model/sat_pubo,100,0,H8,False
112,uf100-02.pubo,11,0,H4,oscillator_model/sat_pubo,100,0,H8,False
113,uf100-02.pubo,12,0,H4,oscillator_model/sat_pubo,100,0,H8,False
114,uf100-02.pubo,13,0,H4,oscillator_model/sat_pubo,100,0,H8,False
115,uf100-02.pubo,14,0,H4,oscillator_model/sat_pubo,100,0,H8,False
116,uf100-02.pubo,15,0,H4,oscillator_model/sat_pubo,100,0,H8,False
117,uf100-02.pubo,16,0,H4,oscillator_model/sat_pubo,100,0,H8,False
118,uf100-02.pubo,17,0,H4,oscillator_model/sat_pubo,100,0,H8,False
119,uf100-02.pubo,18,0,H4,oscillator_model/sat_pubo,100,0,H8,False
120,uf100-02.pubo,19,0,H4,oscillator_model/sat_pubo,100,0,H8,False
121,uf100-02.pubo,20,0,H4,oscillator_model/sat_pubo,100,0,H8,False
122,uf100-02.pubo,21,0,H4,oscillator_model/sat_pubo,100,0,H8,False
123,uf100-02.pubo,22,0,H4,oscillator_model/sat_pubo,100,0,H8,False
124,uf100-02.pubo,23,0,H4,oscillator_model/sat_pubo,100,0,H8,False
125,uf100-02.pubo,24,0,H4,oscillator_model/sat_pubo,100,0,H8,False
126,uf100-02.pubo,25,0,H4,oscillator_model/sat_pubo,100,0,H8,False
127,uf100-02.pubo,26,0,H4,oscillator_model/sat_pubo,100,0,H8,False
128,uf100-02.pubo,27,0,H4,oscillator_model/sat_pubo,100,0,H8,False
129,uf100-02.pubo,28,0,H4,oscillator_model/sat_pubo,100,0,H8,False
130,uf100-02.pubo,29,0,H4,oscillator_model/sat_pubo,100,0,H8,False
131,uf100-02.pubo,30,0,H4,oscillator_model/sat_pubo,100,0,H8,False
132,uf100-02.pubo,31,0,H4,oscillator_model/sat_pubo,100,0,H8,False
133,uf100-02.pubo,32,0,H4,oscillator_model/sat_pubo,100,0,H8,False
134,uf100-02.pubo,33,0,H4,oscillator_model/sat_pubo,100,0,H8,False
135,uf100-02.pubo,34,0,H4,oscillator_model/sat_pubo,100,0,H8,False
136,uf100-02.pubo,35,0,H4,oscillator_model/sat_pubo,100,0,H8,False
137,uf100-02.pubo,36,0,H4,oscillator_model/sat_pubo,100,0,H8,False
138,uf100-02.pubo,37,0,H4,oscillator_model/sat_pubo,100,0,H8,False
139,uf100-02.pubo,38,0,H4,oscillator_model/sat_pubo,100,0,H8,False
140,uf100-02.pubo,39,0,H4,oscillator_model/sat_pubo,100,0,H8,False
141,uf100-02.pubo,40,0,H4,oscillator_model/sat_pubo,100,0,H8,False
142,uf100-02.pubo,41,0,H4,oscillator_model/sat_pubo,100,0,H8,False
143,uf100-02.pubo,42,0,H4,oscillator_model/sat_pubo,100,0,H8,False
144,uf100-02.pubo,43,0,H4,oscillator_model/sat_pubo,100,0,H8,False
145,uf100-02.pubo,44,0,H4,oscillator_model/sat_pubo,100,0,H8,False
146,uf100-02.pubo,45,0,H4,oscillator_model/sat_pubo,100,0,H8,False
147,uf100-02.pubo,46,0,H4,oscillator_model/sat_pubo,100,0,H8,False
148,uf100-02.pubo,47,0,H4,oscillator_model/sat_pubo,100,0,H8,False
149,uf100-02.pubo,48,0,H4,oscillator_model/sat_pubo,100,0,H8,False
150,uf100-02.pubo,49,0,H4,oscillator_model/sat_pubo,100,0,H8,False
151,uf100-02.pubo,50,0,H4,oscillator_model/sat_pubo,100,0,H8,False
152,uf100-02.pubo,51,0,H4,oscillator_model/sat_pubo,100,0,H8,False
153,uf100-02.pubo,52,0,H4,oscillator_model/sat_pubo,100,0,H8,False
154,uf100-02.pubo,53,0,H4,oscillator_model/sat_pubo,100,0,H8,False
155,uf100-02.pubo,54,0,H4,oscillator_model/sat_pubo,100,0,H8,False
156,uf100-02.pubo,55,0,H4,oscillator_model/sat_pubo,100,0,H8,False
157,uf100-02.pubo,56,0,H4,oscillator_model/sat_pubo,100,0,H8,False
158,uf100-02.pubo,57,0,H4,oscillator_model/sat_pubo,100,0,H8,False
159,uf100-02.pubo,58,0,H4,oscillator_model/sat_pubo,100,0,H8,False
160,uf100-02.pubo,59,0,H4,oscillator_model/sat_pubo,100,0,H8,False
161,uf100-02.pubo,60,0,H4,oscillator_model/sat_pubo,100,0,H8,False
162,uf100-02.pubo,61,0,H4,oscillator_model/sat_pubo,100,0,H8,False
163,uf100-02.pubo,62,0,H4,oscillator_model/sat_pubo,100,0,H8,False
164,uf100-02.pubo,63,0,H4,oscillator_model/sat_pubo,100,0,H8,False
165,uf100-02.pubo,64,0,H4,oscillator_model/sat_pubo,100,0,H8,False
166,uf100-02.pubo,65,0,H4,oscillator_model/sat_pubo,100,0,H8,False
167,uf100-02.pubo,66,0,H4,oscillator_model/sat_pubo,100,0,H8,False
168,uf100-02.pubo,67,0,H4,oscillator_model/sat_pubo,100,0,H8,False
169,uf100-02.pubo,68,0,H4,oscillator_model/sat_pubo,100,0,H8,False
170,uf100-02.pubo,69,0,H4,oscillator_model/sat_pubo,100,0,H8,False
171,uf100-02.pubo,70,0,H4,oscillator_model/sat_pubo,100,0,H8,False
172,uf100-02.pubo,71,0,H4,oscillator_model/sat_pubo,100,0,H8,False
173,uf100-02.pubo,72,0,H4,oscillator_model/sat_pubo,100,0,H8,False
174,uf100-02.pubo,73,0,H4,oscillator_model/sat_pubo,100,0,H8,False
175,uf100-02.pubo,74,0,H4,oscillator_model/sat_pubo,100,0,H8,False
176,uf100-02.pubo,75,0,H4,oscillator_model/sat_pubo,100,0,H8,False
177,uf100-02.pubo,76,0,H4,oscillator_model/sat_pubo,100,0,H8,False
178,uf100-02.pubo,77,0,H4,oscillator_model/sat_pubo,100,0,H8,False
179,uf100-02.pubo,78,0,H4,oscillator_model/sat_pubo,100,0,H8,False
180,uf100-02.pubo,79,0,H4,oscillator_model/sat_pubo,100,0,H8,False
181,uf100-02.pubo,80,0,H4,oscillator_model/sat_pubo,100,0,H8,False
182,uf100-02.pubo,81,0,H4,oscillator_model/sat_pubo,100,0,H8,False
183,uf100-02.pubo,82,0,H4,oscillator_model/sat_pubo,100,0,H8,False
184,uf100-02.pubo,83,0,H4,oscillator_model/sat_pubo,100,0,H8,False
185,uf100-02.pubo,84,0,H4,oscillator_model/sat_pubo,100,0,H8,False
186,uf100-02.pubo,85,0,H4,oscillator_model/sat_pubo,100,0,H8,False
187,uf100-02.pubo,86,0,H4,oscillator_model/sat_pubo,100,0,H8,False
188,uf100-02.pubo,87,0,H4,oscillator_model/sat_pubo,100,0,H8,False
189,uf100-02.pubo,88,0,H4,oscillator_model/sat_pubo,100,0,H8,False
190,uf100-02.pubo,89,0,H4,oscillator_model/sat_pubo,100,0,H8,False
191,uf100-02.pubo,90,0,H4,oscillator_model/sat_pubo,100,0,H8,False
192,uf100-02.pubo,91,0,H4,oscillator_model/sat_pubo,100,0,H8,False
193,uf100-02.pubo,92,0,H4,oscillator_model/sat_pubo,100,0,H8,False
194,uf100-02.pubo,93,0,H4,oscillator_model/sat_pubo,100,0,H8,False
195,uf100-02.pubo,94,0,H4,oscillator_model/sat_pubo,100,0,H8,False
196,uf100-02.pubo,95,0,H4,oscillator_model/sat_pubo,100,0,H8,False
197,uf100-02.pubo,96,0,H4,oscillator_model/sat_pubo,100,0,H8,False
198,uf100-02.pubo,97,0,H4,oscillator_model/sat_pubo,100,0,H8,False
199,uf100-02.pubo,98,0,H4,oscillator_model/sat_pubo,100,0,H8,False
200,uf100-02.pubo,99,0,H4,oscillator_model/sat_pubo,100,0,H8,False
201,uf100-03.pubo,0,0,H4,oscillator_model/sat_pubo,100,0,H8,False
202,uf100-03.pubo,1,0,H4,oscillator_model/sat_pubo,100,0,H8,False
203,uf100-03.pubo,2,0,H4,oscillator_model/sat_pubo,100,0,H8,False
204,uf100-03.pubo,3,0,H4,oscillator_model/sat_pubo,100,0,H8,False
205,uf100-03.pubo,4,0,H4,oscillator_model/sat_pubo,100,0,H8,False
206,uf100-03.pubo,5,0,H4,oscillator_model/sat_pubo,100,0,H8,False
207,uf100-03.pubo,6,0,H4,oscillator_model/sat_pubo,100,0,H8,False
208,uf100-03.pubo,7,0,H4,oscillator_model/sat_pubo,100,0,H8,False
209,uf100-03.pubo,8,0,H4,oscillator_model/sat_pubo,100,0,H8,False
210,uf100-03.pubo,9,0,H4,oscillator_model/sat_pubo,100,0,H8,False
211,uf100-03.pubo,10,0,H4,oscillator_model/sat_pubo,100,0,H8,False
212,uf100-03.pubo,11,0,H4,oscillator_model/sat_pubo,100,0,H8,False
213,uf100-03.pubo,12,0,H4,oscillator_model/sat_pubo,100,0,H8,False
214,uf100-03.pubo,13,0,H4,oscillator_model/sat_pubo,100,0,H8,False
215,uf100-03.pubo,14,0,H4,oscillator_model/sat_pubo,100,0,H8,False
216,uf100-03.pubo,15,0,H4,oscillator_model/sat_pubo,100,0,H8,False
217,uf100-03.pubo,16,0,H4,oscillator_model/sat_pubo,100,0,H8,False
218,uf100-03.pubo,17,0,H4,oscillator_model/sat_pubo,100,0,H8,False
219,uf100-03.pubo,18,0,H4,oscillator_model/sat_pubo,100,0,H8,False
220,uf100-03.pubo,19,0,H4,oscillator_model/sat_pubo,100,0,H8,False
221,uf100-03.pubo,20,0,H4,oscillator_model/sat_pubo,100,0,H8,False
222,uf100-03.pubo,21,0,H4,oscillator_model/sat_pubo,100,0,H8,False
223,uf100-03.pubo,22,0,H4,oscillator_model/sat_pubo,100,0,H8,False
224,uf100-03.pubo,23,0,H4,oscillator_model/sat_pubo,100,0,H8,False
225,uf100-03.pubo,24,0,H4,oscillator_model/sat_pubo,100,0,H8,False
226,uf100-03.pubo,25,0,H4,oscillator_model/sat_pubo,100,0,H8,False
227,uf100-03.pubo,26,0,H4,oscillator_model/sat_pubo,100,0,H8,False
228,uf100-03.pubo,27,0,H4,oscillator_model/sat_pubo,100,0,H8,False
229,uf100-03.pubo,28,0,H4,oscillator_model/sat_pubo,100,0,H8,False
230,uf100-03.pubo,29,0,H4,oscillator_model/sat_pubo,100,0,H8,False
231,uf100-03.pubo,30,0,H4,oscillator_model/sat_pubo,100,0,H8,False
232,uf100-03.pubo,31,0,H4,oscillator_model/sat_pubo,100,0,H8,False
233,uf100-03.pubo,32,0,H4,oscillator_model/sat_pubo,100,0,H8,False
234,uf100-03.pubo,33,0,H4,oscillator_model/sat_pubo,100,0,H8,False
235,uf100-03.pubo,34,0,H4,oscillator_model/sat_pubo,100,0,H8,False
236,uf100-03.pubo,35,0,H4,oscillator_model/sat_pubo,100,0,H8,False
237,uf100-03.pubo,36,0,H4,oscillator_model/sat_pubo,100,0,H8,False
238,uf100-03.pubo,37,0,H4,oscillator_model/sat_pubo,100,0,H8,False
239,uf100-03.pubo,38,0,H4,oscillator_model/sat_pubo,100,0,H8,False
240,uf100-03.pubo,39,0,H4,oscillator_model/sat_pubo,100,0,H8,False
241,uf100-03.pubo,40,0,H4,oscillator_model/sat_pubo,100,0,H8,False
242,uf100-03.pubo,41,0,H4,oscillator_model/sat_pubo,100,0,H8,False
243,uf100-03.pubo,42,0,H4,oscillator_model/sat_pubo,100,0,H8,False
244,uf100-03.pubo,43,0,H4,oscillator_model/sat_pubo,100,0,H8,False
245,uf100-03.pubo,44,0,H4,oscillator_model/sat_pubo,100,0,H8,False
246,uf100-03.pubo,45,0,H4,oscillator_model/sat_pubo,100,0,H8,False
247,uf100-03.pubo,46,0,H4,oscillator_model/sat_pubo,100,0,H8,False
248,uf100-03.pubo,47,0,H4,oscillator_model/sat_pubo,100,0,H8,False
249,uf100-03.pubo,48,0,H4,oscillator_model/sat_pubo,100,0,H8,False
250,uf100-03.pubo,49,0,H4,oscillator_model/sat_pubo,100,0,H8,False
251,uf100-03.pubo,50,0,H4,oscillator_model/sat_pubo,100,0,H8,False
252,uf100-03.pubo,51,0,H4,oscillator_model/sat_pubo,100,0,H8,False
253,uf100-03.pubo,52,0,H4,oscillator_model/sat_pubo,100,0,H8,False
254,uf100-03.pubo,53,0,H4,oscillator_model/sat_pubo,100,0,H8,False
255,uf100-03.pubo,54,0,H4,oscillator_model/sat_pubo,100,0,H8,False
256,uf100-03.pubo,55,0,H4,oscillator_model/sat_pubo,100,0,H8,False
257,uf100-03.pubo,56,0,H4,oscillator_model/sat_pubo,100,0,H8,False
258,uf100-03.pubo,57,0,H4,oscillator_model/sat_pubo,100,0,H8,False
259,uf100-03.pubo,58,0,H4,oscillator_model/sat_pubo,100,0,H8,False
260,uf100-03.pubo,59,0,H4,oscillator_model/sat_pubo,100,0,H8,False
261,uf100-03.pubo,60,0,H4,oscillator_model/sat_pubo,100,0,H8,False
262,uf100-03.pubo,61,0,H4,oscillator_model/sat_pubo,100,0,H8,False
263,uf100-03.pubo,62,0,H4,oscillator_model/sat_pubo,100,0,H8,False
264,uf100-03.pubo,63,0,H4,oscillator_model/sat_pubo,100,0,H8,False
265,uf100-03.pubo,64,0,H4,oscillator_model/sat_pubo,100,0,H8,False
266,uf100-03.pubo,65,0,H4,oscillator_model/sat_pubo,100,0,H8,False
267,uf100-03.pubo,66,0,H4,oscillator_model/sat_pubo,100,0,H8,False
268,uf100-03.pubo,67,0,H4,oscillator_model/sat_pubo,100,0,H8,False
269,uf100-03.pubo,68,0,H4,oscillator_model/sat_pubo,100,0,H8,False
270,uf100-03.pubo,69,0,H4,oscillator_model/sat_pubo,100,0,H8,False
271,uf100-03.pubo,70,0,H4,oscillator_model/sat_pubo,100,0,H8,False
272,uf100-03.pubo,71,0,H4,oscillator_model/sat_pubo,100,0,H8,False
273,uf100-03.pubo,72,0,H4,oscillator_model/sat_pubo,100,0,H8,False
274,uf100-03.pubo,73,0,H4,oscillator_model/sat_pubo,100,0,H8,False
275,uf100-03.pubo,74,0,H4,oscillator_model/sat_pubo,100,0,H8,False
276,uf100-03.pubo,75,0,H4,oscillator_model/sat_pubo,100,0,H8,False
277,uf100-03.pubo,76,0,H4,oscillator_model/sat_pubo,100,0,H8,False
278,uf100-03.pubo,77,0,H4,oscillator_model/sat_pubo,100,0,H8,False
279,uf100-03.pubo,78,0,H4,oscillator_model/sat_pubo,100,0,H8,False
280,uf100-03.pubo,79,0,H4,oscillator_model/sat_pubo,100,0,H8,False
281,uf100-03.pubo,80,0,H4,oscillator_model/sat_pubo,100,0,H8,False
282,uf100-03.pubo,81,0,H4,oscillator_model/sat_pubo,100,0,H8,False
283,uf100-03.pubo,82,0,H4,oscillator_model/sat_pubo,100,0,H8,False
284,uf100-03.pubo,83,0,H4,oscillator_model/sat_pubo,100,0,H8,False
285,uf100-03.pubo,84,0,H4,oscillator_model/sat_pubo,100,0,H8,False
286,uf100-03.pubo,85,0,H4,oscillator_model/sat_pubo,100,0,H8,False
287,uf100-03.pubo,86,0,H4,oscillator_model/sat_pubo,100,0,H8,False
288,uf100-03.pubo,87,0,H4,oscillator_model/sat_pubo,100,0,H8,False
289,uf100-03.pubo,88,0,H4,oscillator_model/sat_pubo,100,0,H8,False
290,uf100-03.pubo,89,0,H4,oscillator_model/sat_pubo,100,0,H8,False
291,uf100-03.pubo,90,0,H4,oscillator_model/sat_pubo,100,0,H8,False
292,uf100-03.pubo,91,0,H4,oscillator_model/sat_pubo,100,0,H8,False
293,uf100-03.pubo,92,0,H4,oscillator_model/sat_pubo,100,0,H8,False
294,uf100-03.pubo,93,0,H4,oscillator_model/sat_pubo,100,0,H8,False
295,uf100-03.pubo,94,0,H4,oscillator_model/sat_pubo,100,0,H8,False
296,uf100-03.pubo,95,0,H4,oscillator_model/sat_pubo,100,0,H8,False
297,uf100-03.pubo,96,0,H4,oscillator_model/sat_pubo,100,0,H8,False
298,uf100-03.pubo,97,0,H4,oscillator_model/sat_pubo,100,0,H8,False
299,uf100-03.pubo,98,0,H4,oscillator_model/sat_pubo,100,0,H8,False
300,uf100-03.pubo,99,0,H4,oscillator_model/sat_pubo,100,0,H8,False
301,uf100-04.pubo,0,0,H4,oscillator_model/sat_pubo,100,0,H8,False
302,uf100-04.pubo,1,0,H4,oscillator_model/sat_pubo,100,0,H8,False
303,uf100-04.pubo,2,0,H4,oscillator_model/sat_pubo,100,0,H8,False
304,uf100-04.pubo,3,0,H4,oscillator_model/sat_pubo,100,0,H8,False
305,uf100-04.pubo,4,0,H4,oscillator_model/sat_pubo,100,0,H8,False
306,uf100-04.pubo,5,0,H4,oscillator_model/sat_pubo,100,0,H8,False
307,uf100-04.pubo,6,0,H4,oscillator_model/sat_pubo,100,0,H8,False
308,uf100-04.pubo,7,0,H4,oscillator_model/sat_pubo,100,0,H8,False
309,uf100-04.pubo,8,0,H4,oscillator_model/sat_pubo,100,0,H8,False
310,uf100-04.pubo,9,0,H4,oscillator_model/sat_pubo,100,0,H8,False
311,uf100-04.pubo,10,0,H4,oscillator_model/sat_pubo,100,0,H8,False
312,uf100-04.pubo,11,0,H4,oscillator_model/sat_pubo,100,0,H8,False
313,uf100-04.pubo,12,0,H4,oscillator_model/sat_pubo,100,0,H8,False
314,uf100-04.pubo,13,0,H4,oscillator_model/sat_pubo,100,0,H8,False
315,uf100-04.pubo,14,0,H4,oscillator_model/sat_pubo,100,0,H8,False
316,uf100-04.pubo,15,0,H4,oscillator_model/sat_pubo,100,0,H8,False
317,uf100-04.pubo,16,0,H4,oscillator_model/sat_pubo,100,0,H8,False
318,uf100-04.pubo,17,0,H4,oscillator_model/sat_pubo,100,0,H8,False
319,uf100-04.pubo,18,0,H4,oscillator_model/sat_pubo,100,0,H8,False
320,uf100-04.pubo,19,0,H4,oscillator_model/sat_pubo,100,0,H8,False
321,uf100-04.pubo,20,0,H4,oscillator_model/sat_pubo,100,0,H8,False
322,uf100-04.pubo,21,0,H4,oscillator_model/sat_pubo,100,0,H8,False
323,uf100-04.pubo,22,0,H4,oscillator_model/sat_pubo,100,0,H8,False
324,uf100-04.pubo,23,0,H4,oscillator_model/sat_pubo,100,0,H8,False
325,uf100-04.pubo,24,0,H4,oscillator_model/sat_pubo,100,0,H8,False
326,uf100-04.pubo,25,0,H4,oscillator_model/sat_pubo,100,0,H8,False
327,uf100-04.pubo,26,0,H4,oscillator_model/sat_pubo,100,0,H8,False
328,uf100-04.pubo,27,0,H4,oscillator_model/sat_pubo,100,0,H8,False
329,uf100-04.pubo,28,0,H4,oscillator_model/sat_pubo,100,0,H8,False
330,uf100-04.pubo,29,0,H4,oscillator_model/sat_pubo,100,0,H8,False
331,uf100-04.pubo,30,0,H4,oscillator_model/sat_pubo,100,0,H8,False
